n,t_us,dec,bin,hex,volts
0,553,295,000100100111,0x127,0.216117
1,1644,772,001100000100,0x304,0.565568
2,2386,778,001100001010,0x30A,0.569963
3,3107,3513,110110111001,0xDB9,2.573626
4,3845,2864,101100110000,0xB30,2.098169
5,4556,257,000100000001,0x101,0.188278
6,5261,2061,100000001101,0x80D,1.509890
7,5972,3744,111010100000,0xEA0,2.742857
8,6677,1038,010000001110,0x40E,0.760440
9,7384,818,001100110010,0x332,0.599267
