n,t_us,dec,bin,hex,volts
0,571,3800,111011011000,0xED8,2.783883
1,1682,3685,111001100101,0xE65,2.699634
2,2417,3321,110011111001,0xCF9,2.432967
3,3124,2804,101011110100,0xAF4,2.054213
4,3820,2192,100010010000,0x890,1.605861
5,4517,1582,011000101110,0x62E,1.158974
6,5231,995,001111100011,0x3E3,0.728938
7,5933,546,001000100010,0x222,0.400000
8,6634,280,000100011000,0x118,0.205128
9,7338,233,000011101001,0x0E9,0.170696
10,8042,400,000110010000,0x190,0.293040
11,8749,784,001100010000,0x310,0.574359
12,9453,1303,010100010111,0x517,0.954579
13,47148,1471,010110111111,0x5BF,1.077656
14,48134,2366,100100111110,0x93E,1.733333
15,48860,2964,101110010100,0xB94,2.171429
16,49563,3432,110101101000,0xD68,2.514286
17,50291,3752,111010101000,0xEA8,2.748718
18,50992,3825,111011110001,0xEF1,2.802198
19,51696,3679,111001011111,0xE5F,2.695238
20,52418,3323,110011111011,0xCFB,2.434432
21,53112,2823,101100000111,0xB07,2.068132
22,53822,2188,100010001100,0x88C,1.602930
23,54515,1585,011000110001,0x631,1.161172
24,55216,1003,001111101011,0x3EB,0.734799
25,58370,544,001000100000,0x220,0.398535
26,59368,1235,010011010011,0x4D3,0.904762
27,60119,1903,011101101111,0x76F,1.394139
28,60834,2536,100111101000,0x9E8,1.857875
29,61548,3104,110000100000,0xC20,2.273993
30,62244,3529,110111001001,0xDC9,2.585348
31,62942,3782,111011000110,0xEC6,2.770696
32,63648,3813,111011100101,0xEE5,2.793406
33,64356,3622,111000100110,0xE26,2.653480
34,65057,3238,110010100110,0xCA6,2.372161
35,65779,2673,101001110001,0xA71,1.958242
36,66484,2059,100000001011,0x80B,1.508425
37,67201,1417,010110001001,0x589,1.038095
38,67898,869,001101100101,0x365,0.636630
39,68602,464,000111010000,0x1D0,0.339927
